onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	5	0	NaN	0	NaN
11.423999999999999	3	2	0	NaN	0	NaN
22.821000000000002	3	6	0	NaN	1	29.157
33.691000000000003	3	1	0	NaN	0	NaN
45.194000000000003	3	4	0	NaN	0	NaN
56.747	3	2	0	NaN	1	63.094000000000001
68.552000000000007	3	7	0	NaN	0	NaN
80.058000000000007	3	6	1	1.4159999999999999	0	NaN
91.192999999999998	3	6	1	1.2969999999999999	0	NaN
102.06399999999999	3	1	0	NaN	0	NaN
112.887	3	7	0	NaN	0	NaN
123.925	3	4	0	NaN	0	NaN
134.714	3	6	1	1.2509999999999999	0	NaN
145.101	3	6	1	1.486	0	NaN
156.38999999999999	3	2	1	1.7569999999999999	0	NaN
167.05500000000001	3	2	1	2.2679999999999998	0	NaN
177.70699999999999	3	4	0	NaN	0	NaN
188.68600000000001	3	4	0	NaN	0	NaN
199.82400000000001	3	6	1	1.841	0	NaN
210.834	3	6	1	1.611	0	NaN
221.221	3	6	1	2.004	0	NaN
232.41999999999999	3	2	0	NaN	0	NaN
243.702	3	6	1	1.46	0	NaN
254.96700000000001	3	4	0	NaN	0	NaN
265.98099999999999	3	6	0	NaN	1	272.339
277.262	3	6	1	1.6439999999999999	0	NaN
287.66899999999998	3	4	0	NaN	0	NaN
298.43599999999998	3	4	0	NaN	0	NaN
309.75299999999999	3	5	0	NaN	0	NaN
320.74900000000002	3	4	0	NaN	0	NaN
332.27699999999999	3	2	0	NaN	1	338.60199999999998
343.202	3	6	1	1.6240000000000001	0	NaN
354.53800000000001	3	2	1	1.988	0	NaN
365.43099999999998	3	4	0	NaN	0	NaN
376.774	3	7	0	NaN	0	NaN
388.42599999999999	3	6	1	1.802	0	NaN
399.08699999999999	3	2	0	NaN	1	405.44099999999997
410.31900000000002	3	7	0	NaN	0	NaN
