onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
11.461	3	2	1	1.3540000000000001	0	NaN
22.655999999999999	3	4	0	NaN	0	NaN
33.412999999999997	3	2	1	1.296	0	NaN
43.935000000000002	3	4	0	NaN	0	NaN
54.948	3	6	1	1.5920000000000001	0	NaN
65.356999999999999	3	4	0	NaN	0	NaN
76.560000000000002	3	4	0	NaN	0	NaN
87.543999999999997	3	2	1	1.897	0	NaN
98.076999999999998	3	4	0	NaN	0	NaN
108.95999999999999	3	4	0	NaN	0	NaN
120.494	3	3	1	2.278	0	NaN
131.53800000000001	3	4	0	NaN	0	NaN
142.66900000000001	3	2	1	2.5750000000000002	0	NaN
153.93899999999999	3	2	1	1.298	0	NaN
164.38	3	4	0	NaN	0	NaN
175.77099999999999	3	2	1	1.4139999999999999	0	NaN
186.88900000000001	3	4	0	NaN	0	NaN
198.07599999999999	3	6	1	2.411	0	NaN
208.626	3	5	0	NaN	0	NaN
219.88800000000001	3	2	1	1.8460000000000001	0	NaN
230.53899999999999	3	2	1	2.6179999999999999	0	NaN
241.03200000000001	3	6	1	1.7430000000000001	0	NaN
251.62899999999999	3	2	1	1.51	0	NaN
262.88400000000001	3	6	1	1.4450000000000001	0	NaN
273.30799999999999	3	6	1	1.202	0	NaN
283.90899999999999	3	2	1	1.341	0	NaN
294.315	3	6	1	1.48	0	NaN
305.10700000000003	3	4	0	NaN	0	NaN
315.75999999999999	3	6	1	1.385	0	NaN
327.00700000000001	3	4	0	NaN	0	NaN
337.83300000000003	3	6	1	1.472	0	NaN
348.28100000000001	3	2	1	2.0409999999999999	0	NaN
358.94400000000002	3	2	1	1.393	0	NaN
369.79500000000002	3	6	1	1.3109999999999999	0	NaN
380.26299999999998	3	6	1	1.7070000000000001	0	NaN
391.61200000000002	3	4	0	NaN	0	NaN
402.61099999999999	3	4	0	NaN	0	NaN
