onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	1.7190000000000001	0	NaN
10.487	3	4	0	NaN	0	NaN
21.367000000000001	3	1	1	1.2809999999999999	0	NaN
32.597000000000001	3	2	1	1.7070000000000001	0	NaN
43.866	3	5	1	1.8680000000000001	0	NaN
54.926000000000002	3	2	1	1.1870000000000001	0	NaN
66.013999999999996	3	6	1	1.2789999999999999	0	NaN
76.611999999999995	3	2	1	0.87	0	NaN
87.549000000000007	3	6	1	1.796	0	NaN
98.745999999999995	3	4	0	NaN	0	NaN
109.78700000000001	3	6	1	1.171	0	NaN
121.131	3	4	0	NaN	0	NaN
131.922	3	5	0	NaN	0	NaN
142.88	3	3	1	0.999	0	NaN
153.74199999999999	3	1	1	1.1539999999999999	0	NaN
164.155	3	2	1	1.494	0	NaN
175.268	3	2	1	2.0699999999999998	0	NaN
186.19900000000001	3	1	1	1.226	0	NaN
197.08500000000001	3	7	1	1.077	0	NaN
208.26300000000001	3	4	0	NaN	0	NaN
219.81999999999999	3	1	1	2.2709999999999999	0	NaN
230.98500000000001	3	6	1	2.2810000000000001	0	NaN
241.679	3	2	1	1.4970000000000001	0	NaN
252.49600000000001	3	2	1	1.288	0	NaN
263.60000000000002	3	6	1	1.345	0	NaN
274.06599999999997	3	4	0	NaN	0	NaN
284.82100000000003	3	5	0	NaN	0	NaN
295.76499999999999	3	5	0	NaN	0	NaN
306.95600000000002	3	2	1	1.4279999999999999	0	NaN
318.28899999999999	3	2	1	1.0740000000000001	0	NaN
329.38600000000002	3	4	0	NaN	0	NaN
340.37	3	6	1	1.794	0	NaN
351.017	3	6	1	2.0419999999999998	0	NaN
362.221	3	6	1	1.179	0	NaN
373.495	3	3	1	1.873	0	NaN
384.48099999999999	3	6	1	0.91500000000000004	0	NaN
395.09100000000001	3	6	1	2.7770000000000001	0	NaN
405.53399999999999	3	6	1	1.8049999999999999	0	NaN
