onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
10.978	3	4	0	NaN	0	NaN
22.122	3	2	1	1.105	0	NaN
33.276000000000003	3	3	0	NaN	0	NaN
44.701000000000001	3	3	0	NaN	0	NaN
55.939	3	6	1	2.4340000000000002	0	NaN
67.040999999999997	3	7	1	1.982	0	NaN
78.040000000000006	3	3	0	NaN	0	NaN
88.817999999999998	3	2	0	NaN	0	NaN
99.983000000000004	3	2	0	NaN	1	106.292
111.126	3	6	1	1.6060000000000001	0	NaN
121.57299999999999	3	2	1	1.708	0	NaN
132.078	3	2	1	2.0640000000000001	0	NaN
142.66300000000001	3	1	1	2.6560000000000001	0	NaN
153.70500000000001	3	6	1	2.0739999999999998	0	NaN
164.51300000000001	3	5	0	NaN	0	NaN
175.87200000000001	3	4	0	NaN	0	NaN
186.792	3	2	0	NaN	1	193.11699999999999
197.61799999999999	3	2	1	1.6919999999999999	0	NaN
208.50399999999999	3	4	0	NaN	0	NaN
219.46000000000001	3	2	1	2.2360000000000002	0	NaN
230.76499999999999	3	3	0	NaN	0	NaN
242.31899999999999	3	1	1	1.4470000000000001	0	NaN
253.05199999999999	3	4	0	NaN	0	NaN
263.74900000000002	3	7	1	1.1659999999999999	0	NaN
274.78199999999998	3	3	0	NaN	0	NaN
286.27600000000001	3	4	0	NaN	0	NaN
297.92000000000002	3	2	1	1.155	0	NaN
308.33499999999998	3	7	1	1.569	0	NaN
319.18099999999998	3	2	0	NaN	1	325.52699999999999
330.577	3	2	1	2.2759999999999998	0	NaN
341.625	3	4	1	1.2829999999999999	0	NaN
352.69900000000001	3	4	0	NaN	0	NaN
363.97500000000002	3	2	0	NaN	0	NaN
375.39100000000002	3	4	0	NaN	0	NaN
386.44600000000003	3	3	0	NaN	0	NaN
397.66500000000002	3	3	0	NaN	0	NaN
408.44799999999998	3	2	0	NaN	1	414.77699999999999
