onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	2.3889999999999998	0	NaN
10.468	3	4	0	NaN	0	NaN
21.245999999999999	3	6	1	1.103	0	NaN
31.763000000000002	3	4	0	NaN	0	NaN
43.009	3	6	1	1.1870000000000001	0	NaN
53.948	3	6	1	1.3859999999999999	0	NaN
64.382000000000005	3	4	0	NaN	0	NaN
75.951999999999998	3	5	1	1.3480000000000001	0	NaN
87.028000000000006	3	4	0	NaN	0	NaN
98.415999999999997	3	4	0	NaN	0	NaN
109.10899999999999	3	6	1	1.21	0	NaN
120.32299999999999	3	6	1	1.28	0	NaN
131.601	3	6	1	1.579	0	NaN
142.93799999999999	3	1	0	NaN	0	NaN
154.435	3	4	0	NaN	0	NaN
165.839	3	4	0	NaN	0	NaN
177.01400000000001	3	2	1	1.282	0	NaN
187.548	3	2	1	1.575	0	NaN
198.28899999999999	3	2	1	2.3149999999999999	0	NaN
208.78	3	7	1	1.732	0	NaN
219.16999999999999	3	6	1	1.6439999999999999	0	NaN
230.45500000000001	3	4	0	NaN	0	NaN
241.393	3	6	1	1.331	0	NaN
252.05000000000001	3	4	0	NaN	0	NaN
263.03800000000001	3	7	1	1.3120000000000001	0	NaN
273.86900000000003	3	2	1	2.6899999999999999	0	NaN
284.87200000000001	3	4	0	NaN	0	NaN
295.54700000000003	3	5	1	2.0219999999999998	0	NaN
306.73599999999999	3	2	1	1.238	0	NaN
317.649	3	2	1	1.831	0	NaN
328.85500000000002	3	6	1	1.413	0	NaN
339.548	3	6	1	1.244	0	NaN
350.34500000000003	3	6	1	1.3959999999999999	0	NaN
360.745	3	4	0	NaN	0	NaN
371.565	3	2	1	2.0579999999999998	0	NaN
382.58600000000001	3	1	0	NaN	0	NaN
393.553	3	2	1	1.6759999999999999	0	NaN
404.80000000000001	3	4	0	NaN	0	NaN
