onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	1	1.24	0	NaN
11.086	3	2	0	NaN	1	17.393000000000001
22.266999999999999	3	4	0	NaN	0	NaN
33.149999999999999	3	2	1	1.196	0	NaN
43.747	3	4	0	NaN	0	NaN
55.171999999999997	3	6	0	NaN	1	61.520000000000003
66.064999999999998	3	4	1	1.585	0	NaN
77.106999999999999	3	4	1	2.1190000000000002	0	NaN
88.084000000000003	3	2	1	1.8520000000000001	0	NaN
99.173000000000002	3	4	0	NaN	0	NaN
110.822	3	4	1	2.8999999999999999	0	NaN
121.62	3	3	1	1.786	0	NaN
132.24700000000001	3	4	0	NaN	0	NaN
143.78999999999999	3	2	1	1.913	0	NaN
154.93199999999999	3	2	1	1.859	0	NaN
165.75200000000001	3	4	0	NaN	0	NaN
176.512	3	2	1	1.258	0	NaN
187.43600000000001	3	4	0	NaN	0	NaN
198.267	3	6	0	NaN	1	204.57499999999999
209.58500000000001	3	5	1	2.1930000000000001	0	NaN
220.31299999999999	3	2	1	1.5740000000000001	0	NaN
230.994	3	2	1	1.9470000000000001	0	NaN
242.08199999999999	3	6	0	NaN	1	248.423
253.47	3	2	0	NaN	1	259.80200000000002
265.07499999999999	3	6	1	1.524	0	NaN
275.613	3	6	1	2.0089999999999999	0	NaN
286.65199999999999	3	2	0	NaN	1	292.98599999999999
297.50700000000001	3	6	1	2.6240000000000001	0	NaN
308.66699999999997	3	4	0	NaN	0	NaN
320.012	3	6	0	NaN	1	326.35399999999998
331.79899999999998	3	4	1	1.512	0	NaN
342.24099999999999	3	6	1	2.1600000000000001	0	NaN
353.51499999999999	3	2	1	2.556	0	NaN
364.392	3	2	1	1.3520000000000001	0	NaN
375.36500000000001	3	6	0	NaN	1	381.69600000000003
386.48599999999999	3	6	1	3.0529999999999999	0	NaN
397.16699999999997	3	4	0	NaN	0	NaN
408.666	3	4	0	NaN	0	NaN
