onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
10.999000000000001	3	4	0	NaN	0	NaN
22.617000000000001	3	2	1	1.4650000000000001	0	NaN
33.984999999999999	3	3	0	NaN	0	NaN
44.765000000000001	3	3	0	NaN	0	NaN
55.649000000000001	3	6	1	1.2030000000000001	0	NaN
66.712999999999994	3	7	0	NaN	0	NaN
77.775000000000006	3	3	0	NaN	0	NaN
89.412000000000006	3	2	1	1.4950000000000001	0	NaN
100.73699999999999	3	2	1	1.1779999999999999	0	NaN
111.726	3	6	1	1.2609999999999999	0	NaN
122.94499999999999	3	2	1	1.9670000000000001	0	NaN
133.69300000000001	3	2	1	2.0569999999999999	0	NaN
144.69300000000001	3	1	0	NaN	0	NaN
156.32400000000001	3	6	1	2.3439999999999999	0	NaN
167.24199999999999	3	5	0	NaN	0	NaN
178.827	3	4	0	NaN	0	NaN
190.19499999999999	3	2	1	2.161	0	NaN
201.029	3	2	1	2.7709999999999999	0	NaN
212.012	3	4	0	NaN	0	NaN
223.542	3	2	0	NaN	0	NaN
234.38300000000001	3	3	0	NaN	0	NaN
245.40700000000001	3	1	0	NaN	0	NaN
257.01999999999998	3	4	0	NaN	0	NaN
268.05500000000001	3	7	0	NaN	0	NaN
279.33600000000001	3	3	0	NaN	0	NaN
290.87200000000001	3	4	0	NaN	0	NaN
302.51999999999998	3	2	0	NaN	0	NaN
313.80700000000002	3	7	0	NaN	0	NaN
324.56700000000001	3	2	0	NaN	1	330.858
335.38299999999998	3	2	1	1.8400000000000001	0	NaN
346.31599999999997	3	4	0	NaN	0	NaN
357.51499999999999	3	4	0	NaN	0	NaN
369.12200000000001	3	2	1	1.78	0	NaN
380.21800000000002	3	4	0	NaN	0	NaN
391.51799999999997	3	3	0	NaN	0	NaN
402.69099999999997	3	3	0	NaN	0	NaN
413.584	3	2	1	2.4700000000000002	0	NaN
