onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	1.173	0	NaN
11.220000000000001	3	4	0	NaN	0	NaN
22.405000000000001	3	6	1	1.8660000000000001	0	NaN
33.746000000000002	3	4	0	NaN	0	NaN
44.441000000000003	3	6	1	1.306	0	NaN
55.25	3	6	1	1.613	0	NaN
65.697999999999993	3	4	0	NaN	0	NaN
77.311000000000007	3	5	0	NaN	0	NaN
87.978999999999999	3	4	0	NaN	0	NaN
99.373000000000005	3	4	0	NaN	0	NaN
110.83	3	6	1	1.2789999999999999	0	NaN
122.06	3	6	1	1.431	0	NaN
132.49600000000001	3	6	1	1.653	0	NaN
143.279	3	1	0	NaN	0	NaN
154.18199999999999	3	4	0	NaN	0	NaN
165.63	3	4	0	NaN	0	NaN
176.697	3	2	1	1.518	0	NaN
187.96299999999999	3	2	1	2.1379999999999999	0	NaN
198.49600000000001	3	2	1	2.2029999999999998	0	NaN
209.124	3	7	0	NaN	0	NaN
219.88499999999999	3	6	1	1.1419999999999999	0	NaN
230.36799999999999	3	4	0	NaN	0	NaN
241.851	3	6	1	1.1850000000000001	0	NaN
252.78200000000001	3	4	0	NaN	0	NaN
263.96100000000001	3	7	0	NaN	0	NaN
274.733	3	2	1	1.4330000000000001	0	NaN
285.97199999999998	3	4	0	NaN	0	NaN
297.25299999999999	3	5	0	NaN	0	NaN
308.23099999999999	3	2	1	1.411	0	NaN
319.10399999999998	3	2	1	1.917	0	NaN
329.89400000000001	3	6	1	1.4650000000000001	0	NaN
340.31999999999999	3	6	1	2.9489999999999998	0	NaN
351.04199999999997	3	6	1	1.8500000000000001	0	NaN
361.51600000000002	3	4	0	NaN	0	NaN
372.33800000000002	3	2	1	1.393	0	NaN
382.93200000000002	3	1	0	NaN	0	NaN
393.97800000000001	3	2	1	2.254	0	NaN
404.38	3	4	0	NaN	0	NaN
