onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	5	0	NaN	0	NaN
11.67	3	2	0	NaN	0	NaN
23.077000000000002	3	6	0	NaN	1	29.395
34.174999999999997	3	1	0	NaN	0	NaN
44.997999999999998	3	4	0	NaN	0	NaN
56.488	3	2	0	NaN	1	62.805999999999997
68.076999999999998	3	7	0	NaN	0	NaN
78.998999999999995	3	6	1	1.1299999999999999	0	NaN
89.575000000000003	3	6	0	NaN	1	95.914000000000001
100.73	3	1	0	NaN	0	NaN
112.206	3	7	0	NaN	0	NaN
123.672	3	4	1	2.202	0	NaN
134.583	3	6	1	0.98499999999999999	0	NaN
145.50299999999999	3	6	1	1.3029999999999999	0	NaN
156.15199999999999	3	2	1	1.766	0	NaN
167.202	3	2	1	1.1439999999999999	0	NaN
178.36699999999999	3	4	0	NaN	0	NaN
189.42099999999999	3	4	0	NaN	0	NaN
200.517	3	6	1	1.0840000000000001	0	NaN
211.32900000000001	3	6	0	NaN	0	NaN
222.25200000000001	3	6	0	NaN	1	228.59200000000001
233.75700000000001	3	2	0	NaN	0	NaN
245.274	3	6	0	NaN	1	251.61600000000001
257.02100000000002	3	4	0	NaN	0	NaN
268.40600000000001	3	6	1	1.075	0	NaN
279.01299999999998	3	6	0	NaN	1	285.35199999999998
290.53699999999998	3	4	0	NaN	0	NaN
301.31599999999997	3	4	0	NaN	0	NaN
312.04500000000002	3	5	0	NaN	0	NaN
322.89100000000002	3	4	0	NaN	0	NaN
333.68099999999998	3	2	0	NaN	1	339.971
345.02800000000002	3	6	0	NaN	1	351.33499999999998
355.88499999999999	3	2	1	1.107	0	NaN
367.05900000000003	3	4	0	NaN	0	NaN
378.43099999999998	3	7	0	NaN	0	NaN
390	3	6	1	0.96999999999999997	0	NaN
400.83600000000001	3	2	1	2.008	0	NaN
411.84399999999999	3	7	0	NaN	0	NaN
