onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	1.073	0	NaN
10.628	3	4	0	NaN	0	NaN
22.193999999999999	3	6	1	0.81699999999999995	0	NaN
32.615000000000002	3	4	0	NaN	0	NaN
43.579999999999998	3	6	1	0.876	0	NaN
54.590000000000003	3	6	1	1.155	0	NaN
65.147000000000006	3	4	0	NaN	0	NaN
76.423000000000002	3	5	0	NaN	0	NaN
87.867000000000004	3	4	0	NaN	0	NaN
99.004000000000005	3	4	0	NaN	0	NaN
110.286	3	6	1	1.0429999999999999	0	NaN
121.43899999999999	3	6	1	0.86499999999999999	0	NaN
132.04599999999999	3	6	1	0.72999999999999998	0	NaN
143.00999999999999	3	1	0	NaN	0	NaN
153.75899999999999	3	4	0	NaN	0	NaN
164.911	3	4	0	NaN	0	NaN
176.36600000000001	3	2	1	1.1519999999999999	0	NaN
187.63399999999999	3	2	1	0.86199999999999999	0	NaN
198.49100000000001	3	2	1	1.123	0	NaN
209.125	3	7	1	0.81799999999999995	0	NaN
220.14099999999999	3	6	1	1.0589999999999999	0	NaN
231.41999999999999	3	4	0	NaN	0	NaN
242.55199999999999	3	6	1	1.3620000000000001	0	NaN
253.88999999999999	3	4	0	NaN	0	NaN
264.726	3	7	1	1.375	0	NaN
275.21100000000001	3	2	1	1.204	0	NaN
285.84300000000002	3	4	0	NaN	0	NaN
296.87599999999998	3	5	0	NaN	0	NaN
307.94600000000003	3	2	1	1.0109999999999999	0	NaN
318.625	3	2	1	1.1180000000000001	0	NaN
329.67700000000002	3	6	1	0.99299999999999999	0	NaN
340.11799999999999	3	6	0	NaN	1	346.47199999999998
351.37	3	6	1	1.409	0	NaN
362.017	3	4	0	NaN	0	NaN
372.988	3	2	1	1.1830000000000001	0	NaN
383.45999999999998	3	1	0	NaN	0	NaN
394.68900000000002	3	2	1	1.069	0	NaN
405.32400000000001	3	4	0	NaN	0	NaN
