onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	1.4319999999999999	0	NaN
10.364000000000001	3	4	0	NaN	0	NaN
21.289000000000001	3	1	0	NaN	0	NaN
32.460000000000001	3	2	1	0.871	0	NaN
43.691000000000003	3	5	1	1.2190000000000001	0	NaN
54.136000000000003	3	2	1	1.0389999999999999	0	NaN
65.412999999999997	3	6	1	1.1619999999999999	0	NaN
75.900999999999996	3	2	1	1.0840000000000001	0	NaN
87.079999999999998	3	6	1	1.337	0	NaN
98.245999999999995	3	4	0	NaN	0	NaN
109.792	3	6	1	0.879	0	NaN
120.27800000000001	3	4	0	NaN	0	NaN
131.40700000000001	3	5	0	NaN	0	NaN
142.446	3	3	0	NaN	0	NaN
153.28999999999999	3	1	0	NaN	0	NaN
164.51499999999999	3	2	1	1.0760000000000001	0	NaN
175.47999999999999	3	2	1	1.069	0	NaN
186.053	3	1	1	1.268	0	NaN
196.92500000000001	3	7	1	1.024	0	NaN
208.27500000000001	3	4	0	NaN	0	NaN
219.38399999999999	3	1	0	NaN	0	NaN
230.721	3	6	1	2.0459999999999998	0	NaN
241.49100000000001	3	2	1	2.3479999999999999	0	NaN
251.887	3	2	0	NaN	0	NaN
262.80900000000003	3	6	0	NaN	0	NaN
274.25200000000001	3	4	0	NaN	0	NaN
285.22399999999999	3	5	0	NaN	0	NaN
295.94499999999999	3	5	0	NaN	0	NaN
307.10500000000002	3	2	1	1.8999999999999999	0	NaN
317.827	3	2	1	2.7000000000000002	0	NaN
328.92399999999998	3	4	0	NaN	0	NaN
340.11399999999998	3	6	1	1.1180000000000001	0	NaN
351.27600000000001	3	6	1	1.044	0	NaN
362.43799999999999	3	6	1	1.05	0	NaN
372.99599999999998	3	3	0	NaN	0	NaN
383.77600000000001	3	6	0	NaN	1	390.101
395.40100000000001	3	6	1	1.278	0	NaN
406.40899999999999	3	6	1	1.9790000000000001	0	NaN
