onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
11.178000000000001	3	4	0	NaN	0	NaN
22.143000000000001	3	2	0	NaN	1	28.472999999999999
33.869999999999997	3	3	0	NaN	0	NaN
44.866999999999997	3	3	0	NaN	0	NaN
55.595999999999997	3	6	0	NaN	1	61.917999999999999
67.180999999999997	3	7	0	NaN	0	NaN
78.221000000000004	3	3	0	NaN	0	NaN
89.090000000000003	3	2	1	1.5169999999999999	0	NaN
99.847999999999999	3	2	1	1.2649999999999999	0	NaN
110.339	3	6	0	NaN	1	116.63800000000001
121.255	3	2	1	2.5190000000000001	0	NaN
132.54900000000001	3	2	1	1.6020000000000001	0	NaN
143.833	3	1	0	NaN	0	NaN
155.03399999999999	3	6	1	2.5049999999999999	0	NaN
165.48699999999999	3	5	0	NaN	0	NaN
176.351	3	4	0	NaN	0	NaN
187.33199999999999	3	2	1	1.7410000000000001	0	NaN
198.51300000000001	3	2	1	2.0310000000000001	0	NaN
208.928	3	4	0	NaN	0	NaN
219.60599999999999	3	2	1	2.2509999999999999	0	NaN
230.13499999999999	3	3	0	NaN	0	NaN
241.435	3	1	0	NaN	0	NaN
252.82499999999999	3	4	0	NaN	0	NaN
264.13600000000002	3	7	1	2.3199999999999998	0	NaN
274.94999999999999	3	3	0	NaN	0	NaN
286.14600000000002	3	4	0	NaN	0	NaN
297.065	3	2	0	NaN	0	NaN
308.46600000000001	3	7	1	2.8119999999999998	0	NaN
319.01600000000002	3	2	0	NaN	1	325.32400000000001
330.48500000000001	3	2	1	1.917	0	NaN
341.02800000000002	3	4	0	NaN	0	NaN
352.02199999999999	3	4	0	NaN	0	NaN
363.315	3	2	0	NaN	0	NaN
374.74299999999999	3	4	0	NaN	0	NaN
385.45699999999999	3	3	0	NaN	0	NaN
397.08199999999999	3	3	1	3.141	0	NaN
408.52499999999998	3	2	0	NaN	1	414.82999999999998
