onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	0	NaN	0	NaN
11.122999999999999	3	4	0	NaN	0	NaN
22.245000000000001	3	6	0	NaN	1	28.573
33.372	3	4	0	NaN	0	NaN
44.572000000000003	3	6	1	2.444	0	NaN
55.451999999999998	3	6	0	NaN	1	61.795000000000002
67.100999999999999	3	4	0	NaN	0	NaN
78.521000000000001	3	5	0	NaN	0	NaN
89.801000000000002	3	4	0	NaN	0	NaN
100.81699999999999	3	4	0	NaN	0	NaN
112.276	3	6	1	2.105	0	NaN
123.161	3	6	1	1.607	0	NaN
133.904	3	6	1	1.917	0	NaN
145.20500000000001	3	1	0	NaN	0	NaN
156.739	3	4	0	NaN	0	NaN
167.93199999999999	3	4	0	NaN	0	NaN
179.185	3	2	0	NaN	1	185.51599999999999
190.59700000000001	3	2	1	2.1520000000000001	0	NaN
201.15799999999999	3	2	1	2.7280000000000002	0	NaN
211.81700000000001	3	7	0	NaN	0	NaN
222.96299999999999	3	6	1	2.04	0	NaN
233.554	3	4	0	NaN	0	NaN
245.04499999999999	3	6	1	2.2639999999999998	0	NaN
255.61000000000001	3	4	0	NaN	0	NaN
266.464	3	7	0	NaN	0	NaN
277.291	3	2	1	2.698	0	NaN
287.88499999999999	3	4	0	NaN	0	NaN
298.96800000000002	3	5	0	NaN	0	NaN
309.947	3	2	1	1.877	0	NaN
321.21699999999998	3	2	1	2.012	0	NaN
331.99799999999999	3	6	1	2.919	0	NaN
342.60700000000003	3	6	1	1.357	0	NaN
353.88799999999998	3	6	1	2.1190000000000002	0	NaN
365.24000000000001	3	4	0	NaN	0	NaN
376.30399999999997	3	2	1	2.516	0	NaN
386.80200000000002	3	1	0	NaN	0	NaN
397.69099999999997	3	2	1	1.4890000000000001	0	NaN
408.46800000000002	3	4	0	NaN	0	NaN
