onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
10.800000000000001	3	4	0	NaN	0	NaN
21.704000000000001	3	2	1	1.1180000000000001	0	NaN
32.290999999999997	3	3	0	NaN	0	NaN
43.034999999999997	3	3	0	NaN	0	NaN
54.529000000000003	3	6	1	1.3109999999999999	0	NaN
65.566999999999993	3	7	1	2.0760000000000001	0	NaN
76.659000000000006	3	3	1	2.5750000000000002	0	NaN
87.656999999999996	3	2	1	1.367	0	NaN
98.525999999999996	3	2	1	1.1240000000000001	0	NaN
109.196	3	6	1	1.7150000000000001	0	NaN
120.20099999999999	3	2	1	1.421	0	NaN
130.65899999999999	3	2	1	1.744	0	NaN
141.15600000000001	3	1	0	NaN	0	NaN
151.81200000000001	3	6	1	1.21	0	NaN
163.12299999999999	3	5	0	NaN	0	NaN
174.73400000000001	3	4	0	NaN	0	NaN
185.47800000000001	3	2	1	1.3879999999999999	0	NaN
196.28899999999999	3	2	1	1.4350000000000001	0	NaN
207.27799999999999	3	4	0	NaN	0	NaN
218.18000000000001	3	2	1	1.141	0	NaN
229.285	3	3	0	NaN	0	NaN
240.471	3	1	1	1.849	0	NaN
251.24100000000001	3	4	0	NaN	0	NaN
262.12400000000002	3	7	0	NaN	0	NaN
273.483	3	3	0	NaN	0	NaN
285.02499999999998	3	4	0	NaN	0	NaN
296.363	3	2	1	1.073	0	NaN
307.12099999999998	3	7	0	NaN	0	NaN
318.678	3	2	1	1.5900000000000001	0	NaN
329.27699999999999	3	2	1	2.4710000000000001	0	NaN
340.16399999999999	3	4	0	NaN	0	NaN
351.75	3	4	0	NaN	0	NaN
362.64800000000002	3	2	1	1.5620000000000001	0	NaN
373.24799999999999	3	4	0	NaN	0	NaN
384.79899999999998	3	3	1	1.496	0	NaN
395.20800000000003	3	3	0	NaN	0	NaN
406.14999999999998	3	2	1	1.8720000000000001	0	NaN
