onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
11.42	3	2	0	NaN	1	17.741
22.789000000000001	3	4	0	NaN	0	NaN
33.712000000000003	3	2	1	1.821	0	NaN
44.752000000000002	3	4	0	NaN	0	NaN
55.631999999999998	3	6	0	NaN	1	61.959000000000003
66.899000000000001	3	4	0	NaN	0	NaN
77.939999999999998	3	4	0	NaN	0	NaN
89.153000000000006	3	2	0	NaN	1	95.486999999999995
100.994	3	4	0	NaN	0	NaN
112.477	3	4	0	NaN	0	NaN
124.09	3	3	0	NaN	0	NaN
134.976	3	4	0	NaN	0	NaN
146.15700000000001	3	2	1	1.234	0	NaN
156.56700000000001	3	2	1	1.044	0	NaN
167.68100000000001	3	4	0	NaN	0	NaN
178.90000000000001	3	2	1	1.099	0	NaN
190.13300000000001	3	4	0	NaN	0	NaN
201.74799999999999	3	6	1	1.242	0	NaN
213.018	3	5	0	NaN	0	NaN
224.066	3	2	1	1.0840000000000001	0	NaN
234.459	3	2	1	0.995	0	NaN
245.358	3	6	1	0.97899999999999998	0	NaN
255.92500000000001	3	2	1	0.89800000000000002	0	NaN
266.505	3	6	1	0.86499999999999999	0	NaN
277.18900000000002	3	6	1	1.1559999999999999	0	NaN
287.63999999999999	3	2	1	1.206	0	NaN
298.74700000000001	3	6	1	1.198	0	NaN
309.86000000000001	3	4	0	NaN	0	NaN
321.029	3	6	1	1.361	0	NaN
331.72500000000002	3	4	0	NaN	0	NaN
343.22500000000002	3	6	1	1.1739999999999999	0	NaN
354.09899999999999	3	2	1	1.149	0	NaN
365.42200000000003	3	2	1	1.538	0	NaN
376.67099999999999	3	6	1	0.93600000000000005	0	NaN
387.38499999999999	3	6	1	1.1890000000000001	0	NaN
398.29500000000002	3	4	0	NaN	0	NaN
409.267	3	4	0	NaN	0	NaN
