onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	1.466	0	NaN
10.981999999999999	3	4	0	NaN	0	NaN
22.571999999999999	3	6	1	1.171	0	NaN
33.070999999999998	3	4	0	NaN	0	NaN
43.837000000000003	3	6	1	1.579	0	NaN
55.103000000000002	3	6	1	1.7549999999999999	0	NaN
65.703000000000003	3	4	0	NaN	0	NaN
76.325999999999993	3	5	1	2.109	0	NaN
87.491	3	4	0	NaN	0	NaN
98.262	3	4	0	NaN	0	NaN
109.774	3	6	1	1.3480000000000001	0	NaN
120.22199999999999	3	6	1	2.476	0	NaN
130.92699999999999	3	6	1	2.8180000000000001	0	NaN
141.875	3	1	0	NaN	0	NaN
153.09399999999999	3	4	0	NaN	0	NaN
164.405	3	4	0	NaN	0	NaN
175.69200000000001	3	2	1	2.077	0	NaN
186.483	3	2	1	2.113	0	NaN
196.96799999999999	3	2	1	1.4730000000000001	0	NaN
208.08500000000001	3	7	0	NaN	0	NaN
218.995	3	6	1	2.3969999999999998	0	NaN
230.00700000000001	3	4	0	NaN	0	NaN
241.495	3	6	1	2.4169999999999998	0	NaN
251.92699999999999	3	4	0	NaN	0	NaN
263.541	3	7	0	NaN	0	NaN
274.21699999999998	3	2	1	2.677	0	NaN
285.41800000000001	3	4	0	NaN	0	NaN
296.892	3	5	0	NaN	0	NaN
307.60500000000002	3	2	1	1.8879999999999999	0	NaN
318.50999999999999	3	2	0	NaN	0	NaN
330.09800000000001	3	6	1	1.3720000000000001	0	NaN
340.774	3	6	1	1.6559999999999999	0	NaN
351.93099999999998	3	6	1	2.2970000000000002	0	NaN
362.88499999999999	3	4	0	NaN	0	NaN
374.30000000000001	3	2	1	2.226	0	NaN
385.45499999999998	3	1	0	NaN	0	NaN
396.16300000000001	3	2	1	1.514	0	NaN
406.80099999999999	3	4	0	NaN	0	NaN
